Total number of words: 2973399
Total number of distinct words: 52488
Popular treshold: 2625
Lower common treshold: 24931
Upper common treshold: 27557
Rare treshold: 49863

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|           seen|     1220| 253|
|         seemed|     1219| 254|
|         having|     1218| 255|
|        hundred|     1211| 256|
|        country|     1209| 257|
|             oh|     1206| 258|
|          works|     1198| 259|
|         others|     1194| 260|
|          money|     1193| 261|
|            mrs|     1193| 262|
|           love|     1189| 263|
|           sons|     1188| 264|
|          stood|     1186| 265|
|          water|     1166| 266|
|           keep|     1164| 267|
|            few|     1155| 268|
|           mind|     1149| 269|
|            use|     1147| 270|
|           door|     1146| 271|
|           room|     1139| 272|
|         better|     1135| 273|
|         myself|     1119| 274|
|          taken|     1107| 275|
|         turned|     1107| 276|
|          whole|     1107| 277|
|          until|     1105| 278|
|           felt|     1099| 279|
|          david|     1089| 280|
|          round|     1089| 281|
|          voice|     1085| 282|
|           hast|     1079| 283|
|            far|     1076| 284|
|          moses|     1074| 285|
|         cannot|     1072| 286|
|           pass|     1055| 287|
|           want|     1055| 288|
|           fire|     1053| 289|
|          bring|     1052| 290|
|         spirit|     1050| 291|
|      something|     1048| 292|
|      according|     1043| 293|
|           mine|     1042| 294|
|        thereof|     1037| 295|
|           used|     1037| 296|
|         nature|     1029| 297|
|         enough|     1020| 298|
|           find|     1019| 299|
|           year|     1018| 300|
|            bed|     1014| 301|
|           body|     1011| 302|
|            tom|     1007| 303|
|      gutenberg|     1003| 304|
|          death|      987| 305|
|          whose|      985| 306|
|           poor|      984| 307|
|            lay|      983| 308|
|          state|      978| 309|
|          women|      977| 310|
|           girl|      973| 311|
|            yes|      969| 312|
|       thousand|      967| 313|
|            war|      967| 314|
|           next|      965| 315|
|          speak|      962| 316|
|          thine|      961| 317|
|           high|      959| 318|
|           four|      952| 319|
|          quite|      947| 320|
|          small|      947| 321|
|          times|      942| 322|
|         almost|      937| 323|
|           five|      937| 324|
|        herself|      932| 325|
|           half|      926| 326|
|        fathers|      925| 327|
|       anything|      922| 328|
|            sat|      922| 329|
|       answered|      921| 330|
|        morning|      920| 331|
|           gone|      917| 332|
|          peter|      916| 333|
|           wife|      906| 334|
|          kings|      904| 335|
|            eat|      902| 336|
|          often|      902| 337|
|           rest|      902| 338|
|         manner|      898| 339|
|           near|      894| 340|
|          light|      891| 341|
|           cunt|      890| 342|
|         course|      882| 343|
|          jesus|      878| 344|
|           help|      877| 345|
|         person|      877| 346|
|        looking|      850| 347|
|          sight|      837| 348|
|      jerusalem|      833| 349|
|           kept|      833| 350|
|        general|      831| 351|
|          known|      828| 352|
|          order|      823| 353|
|         second|      821| 354|
|          judah|      820| 355|
|           read|      820| 356|
|         states|      815| 357|
|         reason|      814| 358|
|           kind|      813| 359|
|           best|      811| 360|
|           dead|      805| 361|
|           holy|      803| 362|
|           none|      800| 363|
|              e|      797| 364|
|           feet|      790| 365|
|           fear|      789| 366|
|         rather|      789| 367|
|          since|      789| 368|
|          cause|      786| 369|
|           fell|      784| 370|
|        certain|      781| 371|
|        whether|      781| 372|
|           john|      780| 373|
|         within|      778| 374|
|          mouth|      774| 375|
|        friends|      773| 376|
|       offering|      764| 377|
