Total number of words: 2103361
Total number of distinct words: 43654
Popular treshold: 2183
Lower common treshold: 20735
Upper common treshold: 22919
Rare treshold: 41471

Popular words
+--------------+---------+----+
|          Word|Frequency|Rank|
|          went|      915| 254|
|           end|      914| 255|
|          home|      911| 256|
|       project|      905| 257|
|         hands|      902| 258|
|          hope|      900| 259|
|        rather|      893| 260|
|        always|      891| 261|
|        second|      889| 262|
|         comes|      886| 263|
|          sure|      883| 264|
|      daughter|      880| 265|
|       because|      878| 266|
|          pray|      870| 267|
|          gave|      860| 268|
|       friends|      851| 269|
|       brother|      849| 270|
|        honour|      848| 271|
|        within|      847| 272|
|         blood|      843| 273|
|          john|      841| 274|
|        answer|      837| 275|
|          else|      833| 276|
|       between|      829| 277|
|            ay|      817| 278|
|          dead|      811| 279|
|           far|      810| 280|
|          hold|      810| 281|
|          just|      805| 282|
|          bear|      804| 283|
|       replied|      804| 284|
|         bring|      795| 285|
|      together|      793| 286|
|        mother|      790| 287|
|          live|      786| 288|
|         quite|      786| 289|
|       present|      781| 290|
|          hast|      773| 291|
|          room|      770| 292|
|         stand|      763| 293|
|       however|      762| 294|
|          emma|      756| 295|
|          show|      750| 296|
|         earth|      747| 297|
|          knew|      747| 298|
|         truth|      744| 299|
|          none|      742| 300|
|       brought|      740| 301|
|     something|      738| 302|
|          body|      737| 303|
|         noble|      736| 304|
|          kind|      734| 305|
|        people|      728| 306|
|           boy|      727| 307|
|          rest|      727| 308|
|       believe|      724| 309|
|           got|      719| 310|
|        matter|      719| 311|
|        reason|      715| 312|
|          help|      710| 313|
|          wish|      710| 314|
|          days|      709| 315|
|        looked|      708| 316|
|           nay|      708| 317|
|           use|      706| 318|
|          fire|      699| 319|
|        others|      696| 320|
|        called|      695| 321|
|          each|      695| 322|
|    gloucester|      693| 323|
|         given|      689| 324|
|           joe|      686| 325|
|         means|      682| 326|
|         asked|      681| 327|
|         peace|      681| 328|
|         doubt|      670| 329|
|          side|      670| 330|
|         whole|      670| 331|
|          mean|      661| 332|
|         thats|      660| 333|
|         grace|      657| 334|
|           eye|      656| 335|
|          half|      651| 336|
|        elinor|      647| 337|
|        seemed|      645| 338|
|          soul|      643| 339|
|          door|      642| 340|
|           die|      641| 341|
|          less|      641| 342|
|         forth|      639| 343|
|       husband|      639| 344|
|        sister|      636| 345|
|         alone|      635| 346|
|         light|      633| 347|
|         state|      631| 348|
|          stay|      629| 349|
|        coming|      627| 350|
|          read|      627| 351|
|           yes|      624| 352|
|           lay|      623| 353|
|          page|      622| 354|
|       servant|      622| 355|
|        please|      619| 356|
|        letter|      617| 357|
|       whether|      617| 358|
|         henry|      614| 359|
|       fortune|      612| 360|
|      pleasure|      604| 361|
|          want|      602| 362|
|         power|      599| 363|
|        return|      599| 364|
|        knight|      597| 365|
|          felt|      595| 366|
|        nature|      594| 367|
|      falstaff|      592| 368|
|      thousand|      592| 369|
|         voice|      591| 370|
|         cause|      588| 371|
|          arms|      586| 372|
|          near|      586| 373|
|         thine|      585| 374|
|          says|      584| 375|
|      mistress|      582| 376|
|        person|      582| 377|
|         happy|      581| 378|
|          turn|      581| 379|
|      yourself|      580| 380|
|       worship|      579| 381|
|          hour|      577| 382|
|       chapter|      576| 383|
|         aside|      574| 384|
|         round|      572| 385|
|           bed|      571| 386|
|         times|      571| 387|
|          gods|      570| 388|
|           new|      570| 389|
|         marry|      569| 390|
|        moment|      567| 391|
|          next|      566| 392|
|         faith|      563| 393|
|  gutenberg-tm|      560| 394|
|        tongue|      558| 395|
|        almost|      557| 396|
|         makes|      557| 397|
|       morning|      554| 398|
|          care|      553| 399|
|        theres|      553| 400|
|        france|      552| 401|
|          fool|      551| 402|
|          dost|      550| 403|
|       already|      549| 404|
|           act|      548| 405|
|         lords|      547| 406|
|         taken|      547| 407|
|         years|      546| 408|
|      anything|      543| 409|
|        beauty|      543| 410|
|         cried|      543| 411|
|         began|      542| 412|
|         madam|      542| 413|
|    themselves|      542| 414|
|         tears|      540| 415|
|        either|      538| 416|
|        course|      536| 417|
|         known|      535| 418|
|      business|      534| 419|
|        edward|      533| 420|
|        caesar|      532| 421|
|          open|      524| 422|
|          fall|      523| 423|
|       neither|      518| 424|
|         sword|      517| 425|
|           ask|      516| 426|
|      returned|      515| 427|
|         among|      514| 428|
|         money|      514| 429|
|       richard|      514| 430|
|         least|      507| 431|
|         short|      507| 432|
|         senor|      506| 433|
|      answered|      505| 434|
|        antony|      505| 435|
|           few|      503| 436|
|          sent|      503| 437|
|         child|      501| 438|
|        desire|      500| 439|
|          lost|      500| 440|
