Total number of words: 25253437
Total number of distinct words: 441530
Popular treshold: 22077
Lower common treshold: 209726
Upper common treshold: 231804
Rare treshold: 419453

Popular words
+--------------------+---------+-----+
|                Word|Frequency| Rank|
|                east|     8747|  249|
|                does|     8706|  250|
|             version|     8656|  251|
|                four|     8649|  252|
|              island|     8634|  253|
|           countries|     8606|  254|
|                line|     8598|  255|
|               union|     8575|  256|
|                  ja|     8532|  257|
|             central|     8519|  258|
|              should|     8519|  259|
|               space|     8486|  260|
|                word|     8483|  261|
|              become|     8482|  262|
|              family|     8466|  263|
|               house|     8465|  264|
|                back|     8431|  265|
|               place|     8421|  266|
|                   g|     8406|  267|
|                main|     8389|  268|
|             systems|     8381|  269|
|            original|     8369|  270|
|                thus|     8356|  271|
|              others|     8351|  272|
|             various|     8312|  273|
|                 old|     8305|  274|
|               games|     8292|  275|
|                free|     8233|  276|
|                case|     8144|  277|
|              player|     8140|  278|
|                   x|     8133|  279|
|               right|     8124|  280|
|                 few|     8106|  281|
|                  sv|     8102|  282|
|             control|     8090|  283|
|                 age|     8076|  284|
|                 led|     8070|  285|
|           generally|     8040|  286|
|              period|     8030|  287|
|                  uk|     8022|  288|
|                home|     7982|  289|
|                less|     7940|  290|
|            european|     7936|  291|
|             similar|     7921|  292|
|            republic|     7895|  293|
|         development|     7883|  294|
|               began|     7879|  295|
|            official|     7878|  296|
|               water|     7878|  297|
|                must|     7871|  298|
|           languages|     7824|  299|
|           according|     7801|  300|
|              school|     7795|  301|
|               force|     7752|  302|
|              groups|     7692|  303|
|             western|     7667|  304|
|                just|     7632|  305|
|             million|     7612|  306|
|              europe|     7607|  307|
|              rather|     7579|  308|
|             written|     7562|  309|
|               court|     7556|  310|
|             support|     7531|  311|
|              social|     7454|  312|
|                 how|     7425|  313|
|                down|     7413|  314|
|                 man|     7399|  315|
|                data|     7377|  316|
|             kingdom|     7375|  317|
|                  pt|     7365|  318|
|              france|     7313|  319|
|                   n|     7300|  320|
|               named|     7254|  321|
|                said|     7230|  322|
|                best|     7207|  323|
|               every|     7190|  324|
|                 air|     7183|  325|
|                fact|     7176|  326|
|             college|     7175|  327|
|             england|     7100|  328|
|              single|     7084|  329|
|                team|     7063|  330|
|             company|     7055|  331|
|           published|     7019|  332|
|                army|     7008|  333|
|             special|     6995|  334|
|           september|     6986|  335|
|                show|     6972|  336|
|               field|     6958|  337|
|                   p|     6932|  338|
|            standard|     6917|  339|
|              either|     6901|  340|
|            economic|     6877|  341|
|                late|     6872|  342|
|                land|     6868|  343|
|               james|     6828|  344|
|             january|     6819|  345|
|               press|     6815|  346|
|             service|     6808|  347|
|              london|     6805|  348|
|               along|     6795|  349|
|               river|     6774|  350|
|              result|     6753|  351|
|                held|     6750|  352|
|             germany|     6741|  353|
|               black|     6733|  354|
|                band|     6720|  355|
|                   j|     6712|  356|
|                  da|     6691|  357|
|              league|     6690|  358|
|            december|     6672|  359|
|          especially|     6668|  360|
|               never|     6640|  361|
|            possible|     6625|  362|
|           character|     6608|  363|
|               means|     6598|  364|
|            football|     6597|  365|
|           developed|     6592|  366|
|             america|     6567|  367|
|               works|     6566|  368|
|                take|     6551|  369|
|             islands|     6544|  370|
|             process|     6538|  371|
|                body|     6533|  372|
|             natural|     6519|  373|
|               links|     6508|  374|
|              george|     6493|  375|
|               march|     6483|  376|
|                 sea|     6478|  377|
|                  co|     6472|  378|
|              former|     6462|  379|
|              forces|     6445|  380|
|               local|     6445|  381|
|              battle|     6436|  382|
|              center|     6430|  383|
|            software|     6422|  384|
|               light|     6419|  385|
|                 red|     6413|  386|
|               title|     6406|  387|
|            released|     6403|  388|
|              region|     6394|  389|
|                   f|     6384|  390|
|                play|     6383|  391|
|               short|     6368|  392|
|              having|     6359|  393|
|             october|     6355|  394|
|                took|     6345|  395|
|             society|     6310|  396|
|           christian|     6309|  397|
|             william|     6306|  398|
|               greek|     6302|  399|
|                seen|     6300|  400|
|          television|     6281|  401|
|               books|     6279|  402|
|            november|     6272|  403|
|                open|     6269|  404|
|               white|     6268|  405|
|            minister|     6249|  406|
|               album|     6238|  407|
|                good|     6207|  408|
|              empire|     6206|  409|
|              soviet|     6178|  410|
|             current|     6170|  411|
|                 per|     6167|  412|
|               prime|     6161|  413|
|              itself|     6154|  414|
|                   v|     6145|  415|
|             further|     6130|  416|
|                  zh|     6115|  417|
|             created|     6089|  418|
|               above|     6081|  419|
|                upon|     6078|  420|
|            research|     6076|  421|
|                came|     6051|  422|
|                born|     6043|  423|
|               david|     6032|  424|
|                july|     6028|  425|
|                days|     6015|  426|
|              little|     6002|  427|
|              source|     5985|  428|
|               third|     5980|  429|
|              august|     5974|  430|
|                site|     5972|  431|
|            northern|     5965|  432|
|                type|     5959|  433|
|             largest|     5947|  434|
|               earth|     5942|  435|
|                 off|     5930|  436|
|             ancient|     5923|  437|
|               words|     5915|  438|
|                code|     5903|  439|
|              almost|     5900|  440|
|               april|     5898|  441|
|             himself|     5893|  442|
|               areas|     5891|  443|
|               today|     5883|  444|
|                  st|     5876|  445|
|                june|     5874|  446|
|              robert|     5871|  447|
|             certain|     5865|  448|
|              energy|     5856|  449|
|                  fi|     5852|  450|
|               story|     5834|  451|
|             council|     5831|  452|
|            movement|     5814|  453|
|              played|     5805|  454|
|                once|     5799|  455|
|              rights|     5798|  456|
|                star|     5762|  457|
|               terms|     5760|  458|
|                 act|     5750|  459|
|               again|     5725|  460|
|                next|     5658|  461|
|                 org|     5646|  462|
|          production|     5642|  463|
|           available|     5631|  464|
|                   r|     5628|  465|
|                  ru|     5628|  466|
|                role|     5622|  467|
|           religious|     5617|  468|
|              simple|     5600|  469|
|                  br|     5598|  470|
|              famous|     5564|  471|
|             nations|     5553|  472|
|             charles|     5550|  473|
|                near|     5539|  474|
|               civil|     5536|  475|
|             foreign|     5534|  476|
|              change|     5514|  477|
|             program|     5513|  478|
|               china|     5509|  479|
|                 art|     5500|  480|
|                 son|     5490|  481|
|          particular|     5474|  482|
|                view|     5471|  483|
|                paul|     5449|  484|
|            produced|     5445|  485|
|              member|     5427|  486|
|             instead|     5419|  487|
|           community|     5412|  488|
|               total|     5401|  489|
|            election|     5382|  490|
|             culture|     5367|  491|
|                  td|     5365|  492|
|              making|     5351|  493|
|               radio|     5343|  494|
|                  la|     5341|  495|
|              person|     5334|  496|
|                five|     5329|  497|
|               actor|     5323|  498|
|                side|     5317|  499|
|            included|     5299|  500|
|                 men|     5295|  501|
|            function|     5287|  502|
|               least|     5282|  503|
|              season|     5280|  504|
|               forms|     5264|  505|
|         established|     5249|  506|
|               level|     5235|  507|
|            position|     5234|  508|
|               might|     5226|  509|
|               class|     5224|  510|
|               trade|     5208|  511|
|            children|     5200|  512|
|                full|     5179|  513|
|             present|     5178|  514|
|                 est|     5177|  515|
|            february|     5174|  516|
|            external|     5161|  517|
|              canada|     5155|  518|
|             project|     5148|  519|
|                 far|     5142|  520|
|                pope|     5136|  521|
|               study|     5132|  522|
|              design|     5119|  523|
|               movie|     5110|  524|
|                died|     5097|  525|
|             eastern|     5088|  526|
|               parts|     5086|  527|
|             numbers|     5074|  528|
|                  bc|     5073|  529|
|                real|     5072|  530|
|              africa|     5063|  531|
|                lost|     5055|  532|
|               model|     5047|  533|
|             chinese|     5041|  534|
|            together|     5035|  535|
|              living|     5024|  536|
|                song|     5024|  537|
|             thought|     5015|  538|
|             meaning|     5014|  539|
|           australia|     4990|  540|
|            addition|     4982|  541|
|                hand|     4973|  542|
|               latin|     4968|  543|
|                   h|     4952|  544|
|               taken|     4950|  545|
|                page|     4941|  546|
|              always|     4938|  547|
|                text|     4938|  548|
|                head|     4922|  549|
|               india|     4920|  550|
|            southern|     4919|  551|
|         traditional|     4913|  552|
|                rock|     4912|  553|
|            japanese|     4903|  554|
|              county|     4891|  555|
|              recent|     4891|  556|
|                   t|     4890|  557|
|                note|     4872|  558|
|             players|     4862|  559|
|              record|     4850|  560|
|          technology|     4847|  561|
|              office|     4841|  562|
|             capital|     4838|  563|
|                live|     4835|  564|
|               japan|     4833|  565|
|                  km|     4820|  566|
|                 top|     4812|  567|
|          characters|     4794|  568|
|               young|     4789|  569|
|              nature|     4760|  570|
|             network|     4760|  571|
|                uses|     4756|  572|
|         programming|     4752|  573|
|               final|     4749|  574|
|               built|     4747|  575|
|          historical|     4722|  576|
|                rate|     4712|  577|
|              middle|     4697|  578|
|              cities|     4695|  579|
|              thomas|     4682|  580|
|             spanish|     4675|  581|
|           structure|     4670|  582|
|            catholic|     4667|  583|
|              effect|     4665|  584|
|              father|     4664|  585|
|               range|     4662|  586|
|                 won|     4662|  587|
|                 run|     4659|  588|
|                  et|     4656|  589|
|                  ca|     4636|  590|
|               below|     4633|  591|
|        particularly|     4627|  592|
|             economy|     4617|  593|
|          themselves|     4615|  594|
|             related|     4613|  595|
|               cases|     4611|  596|
|               whose|     4606|  597|
|               names|     4586|  598|
|            referred|     4564|  599|
|           therefore|     4560|  600|
|               video|     4560|  601|
|                   w|     4551|  602|
|               color|     4549|  603|
|                 web|     4539|  604|
|                 bbc|     4533|  605|
|          philosophy|     4533|  606|
|          originally|     4525|  607|
|               royal|     4524|  608|
|               sound|     4510|  609|
|           continued|     4499|  610|
|          throughout|     4481|  611|
|                 our|     4476|  612|
|                  cs|     4475|  613|
|              author|     4474|  614|
|                true|     4467|  615|
|          eventually|     4466|  616|
|                 low|     4464|  617|
|             species|     4454|  618|
|              jewish|     4442|  619|
|                rule|     4439|  620|
