Total number of words: 2960482
Total number of distinct words: 68360
Popular treshold: 3418
Lower common treshold: 32471
Upper common treshold: 35889
Rare treshold: 64942

Popular words
+---------------+---------+----+
|           Word|Frequency|Rank|
|           took|     1141| 254|
|         indeed|     1130| 255|
|            son|     1127| 256|
|           wife|     1127| 257|
|           soul|     1122| 258|
|         almost|     1121| 259|
|          among|     1112| 260|
|          whole|     1112| 261|
|          round|     1101| 262|
|           doth|     1092| 263|
|      gladstone|     1092| 264|
|          light|     1091| 265|
|           less|     1090| 266|
|           dead|     1089| 267|
|         exeunt|     1089| 268|
|            got|     1089| 269|
|          sweet|     1082| 270|
|           does|     1079| 271|
|         seemed|     1078| 272|
|          since|     1078| 273|
|           days|     1073| 274|
|           call|     1069| 275|
|            boy|     1066| 276|
|           keep|     1058| 277|
|            eye|     1050| 278|
|         friend|     1050| 279|
|         looked|     1050| 280|
|         course|     1048| 281|
|            few|     1045| 282|
|           fear|     1042| 283|
|            use|     1031| 284|
|        whether|     1019| 285|
|           exit|     1011| 286|
|           gone|     1011| 287|
|         having|     1006| 288|
|           body|      997| 289|
|         public|      993| 290|
|          truth|      993| 291|
|         answer|      989| 292|
|           soon|      989| 293|
|        friends|      988| 294|
|         matter|      984| 295|
|          whale|      984| 296|
|           hold|      981| 297|
|         others|      979| 298|
|         either|      977| 299|
|           high|      976| 300|
|           knew|      973| 301|
|       question|      964| 302|
|           live|      960| 303|
|          blood|      959| 304|
|           kind|      959| 305|
|          stand|      955| 306|
|           rest|      952| 307|
|            sea|      951| 308|
|          bloom|      950| 309|
|          comes|      948| 310|
|       together|      944| 311|
|        general|      940| 312|
|         reason|      940| 313|
|           case|      938| 314|
|           sure|      938| 315|
|         prince|      937| 316|
|         heaven|      930| 317|
|           gave|      920| 318|
|           hope|      919| 319|
|          thats|      917| 320|
|          quite|      915| 321|
|         honour|      913| 322|
|          going|      905| 323|
|          times|      905| 324|
|        brother|      904| 325|
|          noble|      903| 326|
|           half|      898| 327|
|   gutenberg-tm|      896| 328|
|        present|      893| 329|
|        brought|      891| 330|
|          henry|      890| 331|
|          women|      890| 332|
|      gentleman|      886| 333|
|          asked|      884| 334|
|           near|      884| 335|
|          white|      884| 336|
|        country|      883| 337|
|            mrs|      883| 338|
|           pray|      881| 339|
|        certain|      877| 340|
|        perhaps|      876| 341|
|          peace|      873| 342|
|           show|      867| 343|
|          voice|      865| 344|
|         mother|      863| 345|
|           dear|      861| 346|
|           none|      854| 347|
|          often|      853| 348|
|             ay|      849| 349|
|            lay|      849| 350|
|         called|      848| 351|
|           else|      838| 352|
|           mean|      837| 353|
|           bear|      832| 354|
|           door|      829| 355|
|            war|      826| 356|
|           miss|      824| 357|
|           help|      811| 358|
|             ye|      807| 359|
|     themselves|      806| 360|
|          money|      805| 361|
|           next|      805| 362|
|          alone|      804| 363|
|          given|      804| 364|
|       daughter|      802| 365|
|          forth|      798| 366|
|         moment|      791| 367|
|         itself|      790| 368|
|          bring|      787| 369|
|          means|      786| 370|
|            act|      784| 371|
|        however|      784| 372|
|        believe|      781| 373|
|           read|      779| 374|
|            law|      774| 375|
